Pitch,Roll,Yaw
0.1,0.1,178.2
0.2,0.1,178.1
-10.9,-2.7,85.2
-7.0,-1.4,85.3
-5.1,-1.7,85.9
-6.2,-1.6,86.0
-5.9,-1.9,86.0
-6.3,-1.7,86.1
-6.0,-1.4,86.1
-6.0,-1.4,86.1
-5.7,-1.7,86.1
-5.6,-1.6,86.0
-5.9,-1.4,86.0
-6.1,-1.8,86.0
-5.5,-2.3,86.0
-5.3,-1.3,86.1
-5.6,-1.7,86.0
-5.8,-1.9,86.1
-5.8,-1.1,86.0
-6.1,-1.8,86.1
-6.0,-1.1,86.1
-6.5,-1.6,86.1
-17.2,9.6,-96.0
-7.1,1.8,-93.8
-5.0,1.7,-93.9
-5.5,1.4,-93.9
-5.6,1.6,-94.0
-5.4,1.8,-94.0
-5.6,1.9,-94.1
-5.8,2.0,-94.1
-5.8,1.7,-94.1
-5.5,1.8,-94.0
-5.5,2.2,-94.1
-5.5,1.7,-94.0
-5.4,1.4,-94.0
-5.4,1.5,-94.0
-5.2,1.3,-94.1
-5.6,1.3,-94.1
-5.3,1.7,-93.9
-5.4,1.7,-94.0
-5.3,1.6,-94.0
-5.5,1.4,-94.0
-5.3,1.5,-94.0
11.1,-15.7,-100.8
-11.1,-15.4,95.7
-5.2,-1.7,85.4
-6.0,-1.5,85.9
-5.8,-1.6,86.0
-6.1,-1.3,86.1
-6.4,-1.4,86.1
-6.3,-1.0,86.1
-6.1,-1.8,86.0
-6.3,-1.4,86.0
-6.1,-1.0,86.1
-5.7,-1.0,86.0
-6.0,-0.9,86.0
-5.9,-1.1,86.0
-6.4,-1.2,86.0
-6.7,-1.4,86.0
-5.6,-1.4,86.1
-5.9,-1.1,86.0
-5.8,-2.0,86.1
-6.1,-0.4,86.1
-6.1,-1.4,86.1
13.1,1.8,86.1
-4.8,5.6,-94.8
-5.5,1.0,-93.7
-5.2,1.3,-93.9
-5.3,1.4,-94.1
-5.8,1.4,-94.0
-5.5,1.7,-94.0
-5.2,1.5,-94.0
-5.7,1.4,-94.2
-5.7,1.6,-94.1
-5.0,1.5,-94.1
-5.2,1.4,-94.0
-5.5,1.6,-94.0
-5.0,1.4,-94.1
-5.2,1.6,-94.0
-5.2,1.7,-94.0
-5.7,1.4,-94.0
8.9,-0.6,-93.7
-14.0,-14.5,93.6
-5.5,-1.5,85.4
-5.7,-1.6,85.8
-6.2,-1.7,86.0
-6.0,-1.8,86.0
-6.2,-1.8,86.1
-6.1,-1.9,86.1
-5.5,-1.2,86.1
-5.9,-0.8,86.2
-6.0,-1.1,86.0
-6.0,-1.9,86.0
-6.2,-0.4,86.2
9.8,-1.0,86.3
